Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX238LB, Y52Q39, Bude North and Stratton, On or near The Strand
Anti-social behaviour: England, South West, Devon, Mid Devon District, Tiverton and Honiton, Central Devon, EX5 4ND, Y52Q39, Bradninch, On or near Sports/Recreation Area
Anti-social behaviour: England, South West, Devon, Mid Devon District, Tiverton and Honiton, Central Devon, EX5 4NU, Y52Q39, Bradninch, On or near Fore Street
Anti-social behaviour: England, South West, Devon, Mid Devon District, Tiverton and Honiton, Central Devon, EX5 4NN, Y52Q39, Bradninch, On or near Hornbeam Gardens
Anti-social behaviour: England, South West, Devon, Mid Devon District, Tiverton and Honiton, Central Devon, EX5 4LP, Y52Q39, Bradninch, On or near Beacon Road
Criminal damage and arson: England, South West, Devon, Mid Devon District, Tiverton and Honiton, Central Devon, EX5 4NJ, Y52Q39, Bradninch, On or near Millway
Criminal damage and arson: England, South West, Devon, Mid Devon District, Central Devon, EX5 5NJ, Y52Q39, Cadbury, On or near Dark Lane
Violence and sexual offences: England, South West, Devon, Mid Devon District, Central Devon, EX168HR, Y52Q39, Way, On or near Farleigh Front Road
Anti-social behaviour: England, South West, Devon, Mid Devon District, Tiverton and Honiton, EX152HF, Y52Q39, Cullompton Outer, On or near Dead Lane
Anti-social behaviour: England, South West, Devon, Mid Devon District, Tiverton and Honiton, EX152AX, Y52Q39, Cullompton Outer, On or near Parking Area
Anti-social behaviour: England, South West, Devon, Mid Devon District, Tiverton and Honiton, EX151QY, Y52Q39, Halberton, On or near Five Bridges
Anti-social behaviour: England, South West, Devon, Mid Devon District, Tiverton and Honiton, East Devon District, EX152BB, Y52Q39, Cullompton Outer, On or near A373
Anti-social behaviour: England, South West, Devon, Mid Devon District, Tiverton and Honiton, East Devon District, EX152HH, Y52Q39, Cullompton Outer, On or near Park/Open Space
Criminal damage and arson: England, South West, Devon, Mid Devon District, Tiverton and Honiton, EX152AD, Y52Q39, Cullompton Outer, On or near Fore Street
Criminal damage and arson: England, South West, Devon, Mid Devon District, Tiverton and Honiton, East Devon District, EX152AD, Y52Q39, Cullompton Outer, On or near High Street
Public order: England, South West, Devon, Mid Devon District, Tiverton and Honiton, East Devon District, EX152BN, Y52Q39, Cullompton Outer, On or near Parson'S Close
Violence and sexual offences: England, South West, Devon, Mid Devon District, Central Devon, EX176DR, Y52Q39, Taw, On or near Birch Lane
Anti-social behaviour: England, South West, Devon, Mid Devon District, North Devon, North Devon District, Central Devon, EX187EX, Y52Q39, Taw Vale, On or near B3096
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX187JZ, Y52Q39, Taw Vale, On or near Parking Area
Other theft: England, South West, Devon, Mid Devon District, Central Devon, EX176PR, Y52Q39, Taw Vale, On or near Sports/Recreation Area
Shoplifting: England, South West, Devon, Mid Devon District, North Devon, North Devon District, Central Devon, EX187EX, Y52Q39, Taw Vale, On or near B3096
Violence and sexual offences: England, South West, Devon, Mid Devon District, Central Devon, EX176QB, Y52Q39, Taw Vale, On or near Parking Area
Violence and sexual offences: England, South West, Devon, Mid Devon District, Central Devon, EX176YQ, Y52Q39, Taw Vale, On or near Petrol Station
Violence and sexual offences: England, South West, Devon, Mid Devon District, Central Devon, EX176QN, Y52Q39, Taw Vale, On or near Park Road
Violence and sexual offences: England, South West, Devon, Mid Devon District, Central Devon, EX176YQ, Y52Q39, Taw Vale, On or near Petrol Station
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX176JZ, Y52Q39, Upper Yeo, On or near Godfreys Gardens
Burglary: England, South West, Devon, Mid Devon District, Central Devon, EX175EX, Y52Q39, Upper Yeo, On or near Woodland Hill
Burglary: England, South West, Devon, Mid Devon District, Central Devon, EX175EX, Y52Q39, Upper Yeo, On or near Woodland Hill
Shoplifting: England, South West, Devon, Mid Devon District, Central Devon, EX176ER, Y52Q39, Upper Yeo, On or near A3072
Theft from the person: England, South West, Devon, Mid Devon District, Central Devon, EX176ER, Y52Q39, Upper Yeo, On or near Mill Lane
Violence and sexual offences: England, South West, Devon, Mid Devon District, Central Devon, EX176DB, Y52Q39, Upper Yeo, On or near Walson Road
Violence and sexual offences: England, South West, Devon, Mid Devon District, Central Devon, EX176LS, Y52Q39, Upper Yeo, On or near Grattans Way
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX175PW, Y52Q39, Yeo, On or near Yeo View
Violence and sexual offences: England, South West, Devon, Mid Devon District, Teignbridge District, Central Devon, EX6 6HZ, Y52Q39, Yeo, On or near Hescane Park
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX5 5AU, Y52Q39, Newbrooke, On or near Parking Area
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX5 5BL, Y52Q39, Newbrooke, On or near Court Orchard
Burglary: England, South West, Devon, Mid Devon District, Central Devon, EX5 5BL, Y52Q39, Newbrooke, On or near Court Orchard
Burglary: England, South West, Devon, Mid Devon District, Central Devon, EX5 5BL, Y52Q39, Newbrooke, On or near Court Orchard
Other theft: England, South West, Devon, Mid Devon District, Central Devon, EX5 5AY, Y52Q39, Newbrooke, On or near Five Elms Lane
Violence and sexual offences: England, South West, Devon, Mid Devon District, Central Devon, EX176PA, Y52Q39, Sandford and Creedy, On or near Bishops Meadow
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX175LT, Y52Q39, Yeo, On or near Sunnymead
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX175NQ, Y52Q39, Yeo, On or near Parking Area
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX175NQ, Y52Q39, Yeo, On or near Parking Area
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX175NQ, Y52Q39, Yeo, On or near Parking Area
Violence and sexual offences: England, South West, Devon, Mid Devon District, Teignbridge District, Central Devon, EX6 6BH, Y52Q39, Yeo, On or near Harford Lane
Violence and sexual offences: England, South West, Devon, Mid Devon District, Central Devon, EX175LX, Y52Q39, Yeo, On or near Dulings Meadow
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX173HS, Y52Q39, Boniface, On or near Spinning Bath Gardens
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX173HT, Y52Q39, Boniface, On or near Barnfield
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX173HT, Y52Q39, Boniface, On or near Barnfield
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX173BU, Y52Q39, Boniface, On or near Petrol Station
Criminal damage and arson: England, South West, Devon, Mid Devon District, Central Devon, EX173BU, Y52Q39, Boniface, On or near Petrol Station
Criminal damage and arson: England, South West, Devon, Mid Devon District, Central Devon, EX173BU, Y52Q39, Boniface, On or near Petrol Station
Criminal damage and arson: England, South West, Devon, Mid Devon District, Central Devon, EX172AQ, Y52Q39, Boniface, On or near East Street
Other theft: England, South West, Devon, Mid Devon District, Central Devon, EX172AP, Y52Q39, Lawrence, On or near Church Street
Other theft: England, South West, Devon, Mid Devon District, Central Devon, EX173BU, Y52Q39, Boniface, On or near Petrol Station
Shoplifting: England, South West, Devon, Mid Devon District, Central Devon, EX173BU, Y52Q39, Boniface, On or near Petrol Station
Vehicle crime: England, South West, Devon, Mid Devon District, Central Devon, EX173EY, Y52Q39, Boniface, On or near Kirton Drive
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX171EN, Y52Q39, Boniface, On or near Blagdon Rise
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX171DX, Y52Q39, Boniface, On or near Victoria Crescent
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX171DF, Y52Q39, Boniface, On or near Sports/Recreation Area
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX173BA, Y52Q39, Boniface, On or near Mill Street
Burglary: England, South West, Devon, Mid Devon District, Central Devon, EX171BX, Y52Q39, Boniface, On or near Primrose Way
Criminal damage and arson: England, South West, Devon, Mid Devon District, Central Devon, EX171EU, Y52Q39, Boniface, On or near Marsh Road
Criminal damage and arson: England, South West, Devon, Mid Devon District, Central Devon, EX171EU, Y52Q39, Boniface, On or near Marsh Road
Criminal damage and arson: England, South West, Devon, Mid Devon District, Central Devon, EX171HY, Y52Q39, Boniface, On or near Marsh Lane
Other theft: England, South West, Devon, Mid Devon District, Central Devon, EX171DF, Y52Q39, Boniface, On or near Sports/Recreation Area
Theft from the person: England, South West, Devon, Mid Devon District, Central Devon, EX171EJ, Y52Q39, Boniface, On or near Supermarket
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX172DE, Y52Q39, Lawrence, On or near Waresfoot Drive
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX172AW, Y52Q39, Lawrence, On or near Parliament Street
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX173LB, Y52Q39, Lawrence, On or near High Street
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX172BU, Y52Q39, Lawrence, On or near Lennard Road
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX172AW, Y52Q39, Lawrence, On or near Parliament Street
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX172AW, Y52Q39, Lawrence, On or near Parliament Street
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX173LB, Y52Q39, Lawrence, On or near High Street
Other theft: England, South West, Devon, Mid Devon District, Central Devon, EX172AW, Y52Q39, Lawrence, On or near Parliament Street
Other theft: England, South West, Devon, Mid Devon District, Central Devon, EX172AW, Y52Q39, Lawrence, On or near Parliament Street
Public order: England, South West, Devon, Mid Devon District, Central Devon, EX173DY, Y52Q39, Lawrence, On or near Union Road
Public order: England, South West, Devon, Mid Devon District, Central Devon, EX172BZ, Y52Q39, Lawrence, On or near Newcombes
Violence and sexual offences: England, South West, Devon, Mid Devon District, Central Devon, EX172AW, Y52Q39, Lawrence, On or near Parliament Street
Violence and sexual offences: England, South West, Devon, Mid Devon District, Central Devon, EX172BZ, Y52Q39, Lawrence, On or near Newcombes
Violence and sexual offences: England, South West, Devon, Mid Devon District, Central Devon, EX173JR, Y52Q39, Lawrence, On or near Town View
Violence and sexual offences: England, South West, Devon, Mid Devon District, Central Devon, EX172AZ, Y52Q39, Lawrence, On or near Belle Court
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX172DU, Y52Q39, Lawrence, On or near Alexandra Road
Anti-social behaviour: England, South West, Devon, Mid Devon District, Central Devon, EX172EU, Y52Q39, Lawrence, On or near Jocelyn Mead
Criminal damage and arson: England, South West, Devon, Mid Devon District, Central Devon, EX173LU, Y52Q39, Lawrence, On or near St Lawrence Drive
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX348BJ, Y52Q39, Ilfracombe Central, On or near High Street
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX348AB, Y52Q39, Ilfracombe Central, On or near Sports/Recreation Area
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX348AB, Y52Q39, Ilfracombe Central, On or near Sports/Recreation Area
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX348BJ, Y52Q39, Ilfracombe Central, On or near High Street
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX348BW, Y52Q39, Ilfracombe Central, On or near Brookfield Place
Other theft: England, South West, Devon, North Devon, North Devon District, EX349QA, Y52Q39, Ilfracombe Central, On or near Supermarket
Other theft: England, South West, Devon, North Devon, North Devon District, EX348BJ, Y52Q39, Ilfracombe Central, On or near High Street
Public order: England, South West, Devon, North Devon, North Devon District, EX348BN, Y52Q39, Ilfracombe Central, On or near Supermarket
Shoplifting: England, South West, Devon, North Devon, North Devon District, EX348BN, Y52Q39, Ilfracombe Central, On or near Supermarket
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX348AB, Y52Q39, Ilfracombe Central, On or near Sports/Recreation Area
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX348AB, Y52Q39, Ilfracombe Central, On or near Sports/Recreation Area
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX348BN, Y52Q39, Ilfracombe Central, On or near Supermarket
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX348BN, Y52Q39, Ilfracombe Central, On or near Supermarket
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX349NJ, Y52Q39, Ilfracombe Central, On or near Oak Tree Gardens
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX348BN, Y52Q39, Ilfracombe Central, On or near Supermarket
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX348BJ, Y52Q39, Ilfracombe Central, On or near High Street
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX348AB, Y52Q39, Ilfracombe Central, On or near Sports/Recreation Area
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AX, Y52Q39, Ilfracombe Central, On or near Shopping Area
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AW, Y52Q39, Ilfracombe Central, On or near Market Square
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AT, Y52Q39, Ilfracombe Central, On or near High Street
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AJ, Y52Q39, Ilfracombe Central, On or near Sommers' Crescent
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349HA, Y52Q39, Ilfracombe Central, On or near Oxford Grove
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349BN, Y52Q39, Ilfracombe Central, On or near The Quay
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AW, Y52Q39, Ilfracombe Central, On or near Nightclub
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349HA, Y52Q39, Ilfracombe Central, On or near Oxford Grove
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AT, Y52Q39, Ilfracombe Central, On or near Meridian Place
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AT, Y52Q39, Ilfracombe Central, On or near High Street
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AJ, Y52Q39, Ilfracombe Central, On or near Arcade Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AT, Y52Q39, Ilfracombe Central, On or near High Street
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AT, Y52Q39, Ilfracombe Central, On or near Meridian Place
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AJ, Y52Q39, Ilfracombe Central, On or near Arcade Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349HA, Y52Q39, Ilfracombe Central, On or near Oxford Grove
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349BN, Y52Q39, Ilfracombe Central, On or near The Quay
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AJ, Y52Q39, Ilfracombe Central, On or near Sommers' Crescent
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AJ, Y52Q39, Ilfracombe Central, On or near Arcade Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AX, Y52Q39, Ilfracombe Central, On or near Shopping Area
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349HA, Y52Q39, Ilfracombe Central, On or near Oxford Grove
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AJ, Y52Q39, Ilfracombe Central, On or near Arcade Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AT, Y52Q39, Ilfracombe Central, On or near High Street
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349HA, Y52Q39, Ilfracombe Central, On or near Oxford Grove
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AJ, Y52Q39, Ilfracombe Central, On or near Sommers' Crescent
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AT, Y52Q39, Ilfracombe Central, On or near High Street
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AT, Y52Q39, Ilfracombe Central, On or near High Street
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AT, Y52Q39, Ilfracombe Central, On or near High Street
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX349HA, Y52Q39, Ilfracombe Central, On or near Oxford Grove
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX349BN, Y52Q39, Ilfracombe Central, On or near The Quay
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX349AX, Y52Q39, Ilfracombe Central, On or near Shopping Area
Other theft: England, South West, Devon, North Devon, North Devon District, EX349BN, Y52Q39, Ilfracombe Central, On or near The Quay
Other theft: England, South West, Devon, North Devon, North Devon District, EX349AJ, Y52Q39, Ilfracombe Central, On or near Sommers' Crescent
Public order: England, South West, Devon, North Devon, North Devon District, EX349AJ, Y52Q39, Ilfracombe Central, On or near Sommers' Crescent
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX349AX, Y52Q39, Ilfracombe Central, On or near Shopping Area
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX349BU, Y52Q39, Ilfracombe Central, On or near Broad Street
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX349AJ, Y52Q39, Ilfracombe Central, On or near Arcade Road
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX349BH, Y52Q39, Ilfracombe Central, On or near Capstone Road
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX349BU, Y52Q39, Ilfracombe Central, On or near Broad Street
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX349EF, Y52Q39, Ilfracombe Central, On or near The Strand
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX349AJ, Y52Q39, Ilfracombe Central, On or near Sommers' Crescent
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX349BU, Y52Q39, Ilfracombe Central, On or near Broad Street
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX349AT, Y52Q39, Ilfracombe Central, On or near Meridian Place
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349NT, Y52Q39, Ilfracombe East, On or near Hillsborough Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349ES, Y52Q39, Ilfracombe Central, On or near Portland Street
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349NN, Y52Q39, Ilfracombe East, On or near Portland Park
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349ES, Y52Q39, Ilfracombe Central, On or near Portland Street
Burglary: England, South West, Devon, North Devon, North Devon District, EX349NW, Y52Q39, Ilfracombe East, On or near Hillsborough Terrace
Burglary: England, South West, Devon, North Devon, North Devon District, EX349HW, Y52Q39, Ilfracombe Central, On or near Cambridge Grove
Burglary: England, South West, Devon, North Devon, North Devon District, EX349NU, Y52Q39, Ilfracombe East, On or near Larkstone Lane
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX349ES, Y52Q39, Ilfracombe Central, On or near Portland Street
Public order: England, South West, Devon, North Devon, North Devon District, EX349NU, Y52Q39, Ilfracombe East, On or near Gipsy Lane
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX349NT, Y52Q39, Ilfracombe East, On or near Hillsborough Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349JB, Y52Q39, Ilfracombe Central, On or near Worth Road
Burglary: England, South West, Devon, North Devon, North Devon District, EX349QR, Y52Q39, Ilfracombe East, On or near Hillside Road
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX349RH, Y52Q39, Ilfracombe East, On or near Parking Area
Other theft: England, South West, Devon, North Devon, North Devon District, EX349RH, Y52Q39, Ilfracombe East, On or near Parking Area
Other theft: England, South West, Devon, North Devon, North Devon District, EX349QZ, Y52Q39, Ilfracombe East, On or near Beach Road
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX349QS, Y52Q39, Ilfracombe East, On or near Dovedale Close
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349TF, Y52Q39, Combe Martin, On or near Newberry Close
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX349TF, Y52Q39, Combe Martin, On or near Newberry Close
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX340AT, Y52Q39, Combe Martin, On or near Newberry Hill
Other theft: England, South West, Devon, North Devon, North Devon District, EX340AW, Y52Q39, Combe Martin, On or near Seaside Hill
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX340AW, Y52Q39, Combe Martin, On or near Seaside Hill
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX340HL, Y52Q39, Combe Martin, On or near Hollands Park Avenue
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX340LN, Y52Q39, Combe Martin, On or near Park Crescent
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX340LN, Y52Q39, Combe Martin, On or near Park Crescent
Drugs: England, South West, Devon, North Devon, North Devon District, On or near Vellacott Lane
Drugs: England, South West, Devon, North Devon, North Devon District, On or near Vellacott Lane
Other theft: England, South West, Devon, North Devon, North Devon District, EX340NL, Y52Q39, Combe Martin, On or near Beara Lane
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX314QB, Y52Q39, Combe Martin, On or near Trentishoe Lane
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX340AF, Y52Q39, Combe Martin, On or near Belmont Avenue
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX340HE, Y52Q39, Combe Martin, On or near Highfield Gardens
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX340AD, Y52Q39, Combe Martin, On or near Hilside View
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX340EF, Y52Q39, Combe Martin, On or near Police Station
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX340AD, Y52Q39, Combe Martin, On or near Hilside View
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX340EF, Y52Q39, Combe Martin, On or near Police Station
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX356EF, Y52Q39, Lynton and Lynmouth, On or near Lynmouth Street
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX356DJ, Y52Q39, Lynton and Lynmouth, On or near Rock Avenue
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX356BP, Y52Q39, Lynton and Lynmouth, On or near Parking Area
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX356PT, Y52Q39, Lynton and Lynmouth, On or near Gratton Lane
Other theft: England, South West, Devon, North Devon, North Devon District, EX356EQ, Y52Q39, Lynton and Lynmouth, On or near Mars Hill Way
Other theft: England, South West, Devon, North Devon, North Devon District, EX356DA, Y52Q39, Lynton and Lynmouth, On or near Park Street
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX348AF, Y52Q39, Ilfracombe Central, On or near Market Street
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX348AW, Y52Q39, Ilfracombe Central, On or near Northfield Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX348AQ, Y52Q39, Ilfracombe Central, On or near Wilder Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX348AN, Y52Q39, Ilfracombe Central, On or near Cross Park
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX349AH, Y52Q39, Ilfracombe Central, On or near Shopping Area
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX348AS, Y52Q39, Ilfracombe Central, On or near Runnacleave Road
Burglary: England, South West, Devon, North Devon, North Devon District, EX348AF, Y52Q39, Ilfracombe Central, On or near Parking Area
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX348AZ, Y52Q39, Ilfracombe Central, On or near Langleigh Road
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX348AU, Y52Q39, Ilfracombe Central, On or near Torrs Walk Avenue
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX348AR, Y52Q39, Ilfracombe Central, On or near Fortescue Road
Other theft: England, South West, Devon, North Devon, North Devon District, EX348AX, Y52Q39, Ilfracombe Central, On or near Bath Place
Other theft: England, South West, Devon, North Devon, North Devon District, EX348AF, Y52Q39, Ilfracombe Central, On or near Parking Area
Other theft: England, South West, Devon, North Devon, North Devon District, EX348AU, Y52Q39, Ilfracombe Central, On or near Torrs Walk Avenue
Other theft: England, South West, Devon, North Devon, North Devon District, EX348AN, Y52Q39, Ilfracombe Central, On or near Cross Park
Vehicle crime: England, South West, Devon, North Devon, North Devon District, EX349AH, Y52Q39, Ilfracombe Central, On or near Avenue Road
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX348AX, Y52Q39, Ilfracombe Central, On or near Granville Road
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX349AH, Y52Q39, Ilfracombe Central, On or near Shopping Area
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX348AF, Y52Q39, Ilfracombe Central, On or near Market Street
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX349AH, Y52Q39, Ilfracombe Central, On or near Shopping Area
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX348DD, Y52Q39, Ilfracombe Central, On or near Church Hill
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX348DR, Y52Q39, Ilfracombe West, On or near Station Road
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX348DJ, Y52Q39, Ilfracombe West, On or near St Brannock'S Road
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX348JY, Y52Q39, Ilfracombe West, On or near Burrow Road
Public order: England, South West, Devon, North Devon, North Devon District, EX348HB, Y52Q39, Ilfracombe West, On or near Horne Road
Theft from the person: England, South West, Devon, North Devon, North Devon District, EX348HB, Y52Q39, Ilfracombe West, On or near Horne Road
Vehicle crime: England, South West, Devon, North Devon, North Devon District, EX348HX, Y52Q39, Ilfracombe West, On or near Furze Hill Road
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX348HB, Y52Q39, Ilfracombe West, On or near Horne Road
Burglary: England, South West, Devon, North Devon, North Devon District, EX348LR, Y52Q39, Ilfracombe West, On or near Lower Greystone
Criminal damage and arson: England, South West, Devon, North Devon, North Devon District, EX348LR, Y52Q39, Ilfracombe West, On or near Lower Greystone
Other theft: England, South West, Devon, North Devon, North Devon District, EX348LR, Y52Q39, Ilfracombe West, On or near Parking Area
Robbery: England, South West, Devon, North Devon, North Devon District, EX348NB, Y52Q39, Ilfracombe West, On or near Pedestrian Subway
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX348LE, Y52Q39, Ilfracombe West, On or near The Leas
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX348LF, Y52Q39, Ilfracombe West, On or near Slade Valley Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX348LF, Y52Q39, Ilfracombe West, On or near Slade Valley Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX348DT, Y52Q39, Ilfracombe West, On or near Belmont Road
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX348BD, Y52Q39, Ilfracombe Central, On or near Langleigh Park
Violence and sexual offences: England, South West, Devon, North Devon, North Devon District, EX332NB, Y52Q39, Braunton East, On or near Whitestone Lane
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX348NH, Y52Q39, Georgeham and Mortehoe, On or near Churchhill
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX347ED, Y52Q39, Georgeham and Mortehoe, On or near North Morte Road
Anti-social behaviour: England, South West, Devon, North Devon, North Devon District, EX347DL, Y52Q39, Georgeham and Mortehoe, On or near Police Station
