Theft from the person: England, Yorkshire and the Humber, West Yorkshire, Bradford District, Shipley, BD163LS, Y51Q32, Bingley, On or near The Gardens
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301HD, W00Q99, Tudno, On or near Ffordd Elisabeth
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301HD, W00Q99, Tudno, On or near Ffordd Elisabeth
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301JE, W00Q99, Tudno, On or near Cwm Howard Lane
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301JE, W00Q99, Tudno, On or near Cwm Howard Lane
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301JA, W00Q99, Tudno, On or near Maes-Y-Cwm
Drugs: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301LF, W00Q99, Tudno, On or near Parking Area
Shoplifting: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301QY, W00Q99, Tudno, On or near Lloyd George Close
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301HD, W00Q99, Tudno, On or near Ffordd Elisabeth
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301EN, W00Q99, Tudno, On or near Cwm Place
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301LF, W00Q99, Tudno, On or near Parking Area
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301HD, W00Q99, Tudno, On or near Ffordd Elisabeth
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301JW, W00Q99, Tudno, On or near Maes Yr Orsedd
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301HD, W00Q99, Tudno, On or near Ffordd Elisabeth
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301HD, W00Q99, Tudno, On or near Ffordd Elisabeth
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301LF, W00Q99, Tudno, On or near Parking Area
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301HP, W00Q99, Tudno, On or near Churchill Close
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301HD, W00Q99, Tudno, On or near Ffordd Elisabeth
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301HD, W00Q99, Tudno, On or near Ffordd Elisabeth
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301HU, W00Q99, Tudno, On or near Ffordd Yr Orsedd
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301HE, W00Q99, Tudno, On or near Attlee Close
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301EH, W00Q99, Tudno, On or near Ffordd Dwyfor
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301JE, W00Q99, Tudno, On or near Ewloe Drive
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301JE, W00Q99, Tudno, On or near Ewloe Drive
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301LU, W00Q99, Tudno, On or near Bodnant Road
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301LU, W00Q99, Tudno, On or near Bodnant Road
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301JE, W00Q99, Tudno, On or near Ewloe Drive
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301LN, W00Q99, Tudno, On or near Harlech Road
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301LU, W00Q99, Tudno, On or near Bodnant Road
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284HJ, W00Q99, Llandrillo yn Rhos, On or near Marston Drive
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL303EZ, W00Q99, Penrhyn, On or near Ormeside
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL303FQ, W00Q99, Penrhyn, On or near Oliver Jones Drive
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL303EG, W00Q99, Penrhyn, On or near Parking Area
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL303DN, W00Q99, Penrhyn, On or near Tan Y Coed
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL303FQ, W00Q99, Penrhyn, On or near Oliver Jones Drive
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL303BP, W00Q99, Penrhyn, On or near Pen-Y-Parc
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL303FH, W00Q99, Penrhyn, On or near Rhys Evans Close
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL303ET, W00Q99, Penrhyn, On or near Maes Y Gwenith
Shoplifting: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL303EW, W00Q99, Penrhyn, On or near Petrol Station
Other crime: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL303EY, W00Q99, Penrhyn, On or near Trafford Park
Burglary: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL303EP, W00Q99, Penrhyn, On or near St David'S Close
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284HN, W00Q99, Llandrillo yn Rhos, On or near Whitehall Road
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284RB, W00Q99, Llandrillo yn Rhos, On or near Rhos Promenade
Shoplifting: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284RB, W00Q99, Llandrillo yn Rhos, On or near Rhos Promenade
Shoplifting: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284RB, W00Q99, Llandrillo yn Rhos, On or near Rhos Promenade
Shoplifting: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284RB, W00Q99, Llandrillo yn Rhos, On or near Rhos Promenade
Shoplifting: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284RB, W00Q99, Llandrillo yn Rhos, On or near Rhos Promenade
Shoplifting: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284RB, W00Q99, Llandrillo yn Rhos, On or near Rhos Promenade
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284RA, W00Q99, Llandrillo yn Rhos, On or near Supermarket
Burglary: Wales, Aberconwy, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284LF, W00Q99, Llandrillo yn Rhos, On or near The Crescent
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284LB, W00Q99, Llandrillo yn Rhos, On or near Rhyd Drive
Public order: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284NT, W00Q99, Llandrillo yn Rhos, On or near Trillo Avenue
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Clwyd West, Wales, LL303PU, W00Q99, Penrhyn, On or near Glan-Y-Mor Road
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284LP, W00Q99, Llandrillo yn Rhos, On or near Sports/Recreation Area
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284BJ, W00Q99, Llandrillo yn Rhos, On or near Maes Glas
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284BJ, W00Q99, Llandrillo yn Rhos, On or near Bryn Menai
Burglary: Wales, Aberconwy, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284RX, W00Q99, Llandrillo yn Rhos, On or near First Avenue
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284BJ, W00Q99, Llandrillo yn Rhos, On or near Bryn Menai
Drugs: Wales, Aberconwy, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284SA, W00Q99, Llandrillo yn Rhos, On or near High Lane
Drugs: Wales, Aberconwy, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284BJ, W00Q99, Llandrillo yn Rhos, On or near Bryn Menai
Drugs: Wales, Aberconwy, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284BJ, W00Q99, Llandrillo yn Rhos, On or near Bryn Menai
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284AJ, W00Q99, Llandrillo yn Rhos, On or near Llwyn Onn
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284YU, W00Q99, Llandrillo yn Rhos, On or near Bryn Eglwys
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284YR, W00Q99, Llandrillo yn Rhos, On or near Y Berllan
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284TU, W00Q99, Llandrillo yn Rhos, On or near Rhos Road
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284HQ, W00Q99, Llandrillo yn Rhos, On or near Dinerth Avenue
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Clwyd West, Wales, LL284TU, W00Q99, Llandrillo yn Rhos, On or near Rhos Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185LF, W00Q99, Bae Cinmel, On or near Llys Branwen
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Sir Ddinbych - Denbighshire, Denbighshire, Wales, LL185AY, W00Q99, Bae Cinmel, On or near Hospital
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL185NG, W00Q99, Bae Cinmel, On or near Clwyd Gardens
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185LF, W00Q99, Bae Cinmel, On or near Lon Olwen
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185EQ, W00Q99, Bae Cinmel, On or near Supermarket
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185LE, W00Q99, Bae Cinmel, On or near Parc Morfa
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185LE, W00Q99, Bae Cinmel, On or near Parc Morfa
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185LF, W00Q99, Bae Cinmel, On or near Llys Branwen
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL185NG, W00Q99, Bae Cinmel, On or near Clwyd Gardens
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185EQ, W00Q99, Bae Cinmel, On or near Supermarket
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185EQ, W00Q99, Bae Cinmel, On or near Supermarket
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185EQ, W00Q99, Bae Cinmel, On or near Supermarket
Drugs: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185LF, W00Q99, Bae Cinmel, On or near Llys Branwen
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185EQ, W00Q99, Bae Cinmel, On or near Supermarket
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185EQ, W00Q99, Bae Cinmel, On or near Supermarket
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL185NH, W00Q99, Bae Cinmel, On or near Aled Gardens
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185EQ, W00Q99, Bae Cinmel, On or near Supermarket
Robbery: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL185NF, W00Q99, Bae Cinmel, On or near Woodside Avenue
Vehicle crime: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185LF, W00Q99, Bae Cinmel, On or near Llys Branwen
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185EQ, W00Q99, Bae Cinmel, On or near Supermarket
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185HU, W00Q99, Bae Cinmel, On or near Dulas Park
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185HU, W00Q99, Bae Cinmel, On or near Dulas Park
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185EQ, W00Q99, Bae Cinmel, On or near Supermarket
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185EQ, W00Q99, Bae Cinmel, On or near Supermarket
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185HU, W00Q99, Bae Cinmel, On or near Dulas Park
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL185NH, W00Q99, Bae Cinmel, On or near Aled Gardens
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185EQ, W00Q99, Bae Cinmel, On or near Supermarket
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185EQ, W00Q99, Bae Cinmel, On or near Supermarket
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185EA, W00Q99, Bae Cinmel, On or near Tudor Grove
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL185JA, W00Q99, Bae Cinmel, On or near Tir Llwyd Industrial Estate
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Sir Ddinbych - Denbighshire, Denbighshire, Wales, LL185EG, W00Q99, Bae Cinmel, On or near Trem-Y-Ffair
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185HQ, W00Q99, Bae Cinmel, On or near Glyn Circle
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185LN, W00Q99, Bae Cinmel, On or near Argoed
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185LP, W00Q99, Bae Cinmel, On or near Cynlas
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185LN, W00Q99, Bae Cinmel, On or near Argoed
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185LP, W00Q99, Bae Cinmel, On or near Cynlas
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185LN, W00Q99, Bae Cinmel, On or near Argoed
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185LP, W00Q99, Bae Cinmel, On or near Cynlas
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185LP, W00Q99, Bae Cinmel, On or near Cynlas
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185LN, W00Q99, Bae Cinmel, On or near Argoed
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185LD, W00Q99, Bae Cinmel, On or near Llugwy Road
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL185FZ, W00Q99, Bae Cinmel, On or near Llys Conwy
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185LP, W00Q99, Bae Cinmel, On or near Cynlas
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185NQ, W00Q99, Bae Cinmel, On or near Lon Heulog
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL185EW, W00Q99, Bae Cinmel, On or near Llys Glanrafon
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185EG, W00Q99, Bae Cinmel, On or near Llys-Y-Marchog
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL185EN, W00Q99, Bae Cinmel, On or near Southlands Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL185EN, W00Q99, Bae Cinmel, On or near Southlands Road
Burglary: Wales, Conwy - Conwy, Conwy, Clwyd West, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL185BX, W00Q99, Bae Cinmel, On or near Llys Clwyd
Burglary: Wales, Conwy - Conwy, Conwy, Clwyd West, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL185DD, W00Q99, Bae Cinmel, On or near Llys Cregyn
Public order: Wales, Conwy - Conwy, Conwy, Clwyd West, Denbighshire, Wales, LL185EG, W00Q99, Bae Cinmel, On or near Llys-Y-Marchog
Vehicle crime: Wales, Conwy - Conwy, Conwy, Clwyd West, Sir Ddinbych - Denbighshire, Denbighshire, Wales, LL185DH, W00Q99, Bae Cinmel, On or near Moelwyn Avenue North
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Sir Ddinbych - Denbighshire, Denbighshire, Vale of Clwyd, Wales, LL185DN, W00Q99, Bae Cinmel, On or near Betws Avenue
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229LD, W00Q99, Tywyn, On or near Sandbank Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229HS, W00Q99, Tywyn, On or near Gaingc Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229LB, W00Q99, Tywyn, On or near Bryn Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229ER, W00Q99, Tywyn, On or near Towyn Police Station
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229HF, W00Q99, Tywyn, On or near Towyn Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229HS, W00Q99, Tywyn, On or near Gaingc Road
Anti-social behaviour: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229HF, W00Q99, Tywyn, On or near Towyn Road
Burglary: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229LP, W00Q99, Tywyn, On or near Maes Y Llan
Burglary: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229HF, W00Q99, Tywyn, On or near Towyn Road
Burglary: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229HF, W00Q99, Tywyn, On or near Towyn Road
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229JA, W00Q99, Tywyn, On or near Parking Area
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229HF, W00Q99, Tywyn, On or near Towyn Road
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229LB, W00Q99, Tywyn, On or near Bryn Road
Criminal damage and arson: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229HS, W00Q99, Tywyn, On or near Gaingc Road
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229HS, W00Q99, Tywyn, On or near Gaingc Road
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229LB, W00Q99, Tywyn, On or near Bryn Road
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229HS, W00Q99, Tywyn, On or near Gaingc Road
Other theft: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229LY, W00Q99, Tywyn, On or near Llys Llewelyn
Public order: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229LP, W00Q99, Tywyn, On or near Maes Y Llan
Vehicle crime: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229HQ, W00Q99, Tywyn, On or near Llys Arthur
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229HS, W00Q99, Tywyn, On or near Gaingc Road
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229PD, W00Q99, Tywyn, On or near Awelon
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229HS, W00Q99, Tywyn, On or near Gaingc Road
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229HS, W00Q99, Tywyn, On or near Gaingc Road
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229LL, W00Q99, Tywyn, On or near Penisaf Avenue
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229LA, W00Q99, Tywyn, On or near San Remo Avenue
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229LD, W00Q99, Tywyn, On or near Sandbank Road
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229LB, W00Q99, Tywyn, On or near Bryn Road
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229LL, W00Q99, Tywyn, On or near Llys Nant
Violence and sexual offences: Wales, Conwy - Conwy, Conwy, Clwyd West, Wales, LL229PD, W00Q99, Tywyn, On or near Awelon
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301SW, W00Q99, Deganwy, On or near Parc Lon Pedr
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301SW, W00Q99, Deganwy, On or near Parc Lon Pedr
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301SW, W00Q99, Deganwy, On or near Parc Lon Pedr
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301SW, W00Q99, Deganwy, On or near Parc Lon Pedr
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301SW, W00Q99, Deganwy, On or near Parc Lon Pedr
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL301NR, W00Q99, Deganwy, On or near Deganwy Road
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319UN, W00Q99, Deganwy, On or near Park Road
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319UU, W00Q99, Deganwy, On or near Maelgwyn Drive
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319DD, W00Q99, Deganwy, On or near Back York Road
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319DD, W00Q99, Deganwy, On or near Back York Road
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319UN, W00Q99, Deganwy, On or near Park Road
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319EQ, W00Q99, Deganwy, On or near All Saints Avenue
Public order: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319UN, W00Q99, Deganwy, On or near Park Road
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319UN, W00Q99, Deganwy, On or near Park Road
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319YN, W00Q99, Deganwy, On or near Heulfryn
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319UR, W00Q99, Deganwy, On or near Vardre Avenue
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319YJ, W00Q99, Deganwy, On or near Coed Y Bwlch
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319YN, W00Q99, Deganwy, On or near Heulfryn
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319SP, W00Q99, Marl, On or near St George'S Drive
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319SF, W00Q99, Marl, On or near Vale Road
Shoplifting: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319UF, W00Q99, Deganwy, On or near Hillcrest Road
Shoplifting: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319UF, W00Q99, Deganwy, On or near Hillcrest Road
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319SF, W00Q99, Marl, On or near Vale Road
Violence and sexual offences: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319TD, W00Q99, Marl, On or near Overlea Crescent
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319EZ, W00Q99, Marl, On or near Clos Belyn
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319HL, W00Q99, Marl, On or near Broad Street
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319BF, W00Q99, Marl, On or near Woodlands
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319LA, W00Q99, Marl, On or near Marl Drive
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319NU, W00Q99, Marl, On or near Supermarket
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319HR, W00Q99, Marl, On or near Marl Crescent
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319HL, W00Q99, Marl, On or near Broad Street
Anti-social behaviour: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319HR, W00Q99, Marl, On or near Marl Crescent
Burglary: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319XY, W00Q99, Marl, On or near Supermarket
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319BF, W00Q99, Marl, On or near Woodlands
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319HR, W00Q99, Marl, On or near Marl Crescent
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319LE, W00Q99, Marl, On or near The Meadows
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319EZ, W00Q99, Marl, On or near Clos Belyn
Criminal damage and arson: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319HL, W00Q99, Marl, On or near Broad Street
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319XY, W00Q99, Marl, On or near Petrol Station
Other theft: Wales, Aberconwy, Conwy - Conwy, Conwy, Wales, LL319XY, W00Q99, Marl, On or near Supermarket
